,raster_val,geometry,areas,points,rws,blocks,vols,heit,lite,undersmpl,mean_diff,mean_diff_positive
530,15518.0,"POLYGON ((106.80895560500909 -6.280860448135112, 106.8099825897498 -6.288966824208145, 106.81999759046145 -6.288966824208145, 106.81897050942588 -6.280860448135112, 106.80895560500909 -6.280860448135112))",1000000.0,22.0,3,35,3864873.0,3.8461538461538463,203.0,0.0,-0.00797630262865388,0.07067375602748091
531,16162.0,"POLYGON ((106.81897050942588 -6.280860448135112, 106.81999759046145 -6.288966824208145, 106.8300125911731 -6.288966824208145, 106.82898541384266 -6.280860448135112, 106.81897050942588 -6.280860448135112))",1000000.0,29.0,4,98,3736094.0,3.5714285714285716,186.0,0.0,-0.06909477896666213,0.0581562168539371
532,17186.0,"POLYGON ((106.82898541384266 -6.280860448135112, 106.8300125911731 -6.288966824208145, 106.84002759188473 -6.288966824208145, 106.83900031825942 -6.280860448135112, 106.82898541384266 -6.280860448135112))",1000000.0,55.0,5,119,4072350.0,3.823529411764706,185.0,0.0,-0.0798475893615649,0.04751625112351364
533,13540.0,"POLYGON ((106.83900031825942 -6.280860448135112, 106.84002759188473 -6.288966824208145, 106.8500425925964 -6.288966824208145, 106.84901522267623 -6.280860448135112, 106.83900031825942 -6.280860448135112))",1000000.0,6.0,4,130,4487730.0,4.423076923076923,162.0,0.0,-0.07142650225331997,0.06606615998797939
534,20618.0,"POLYGON ((106.84901522267623 -6.280860448135112, 106.8500425925964 -6.288966824208145, 106.86005759330806 -6.288966824208145, 106.859030127093 -6.280860448135112, 106.84901522267623 -6.280860448135112))",1000000.0,18.0,2,79,3831889.0,3.864864864864865,151.5,0.0,0.037387501759242395,0.07339369494173725
535,21028.0,"POLYGON ((106.859030127093 -6.280860448135112, 106.86005759330806 -6.288966824208145, 106.8700725940197 -6.288966824208145, 106.8690450315098 -6.280860448135112, 106.859030127093 -6.280860448135112))",1000000.0,12.0,6,119,3650462.0,3.611111111111111,145.0,0.0,0.010400302554887626,0.06300088413812328
536,15592.0,"POLYGON ((106.8690450315098 -6.280860448135112, 106.8700725940197 -6.288966824208145, 106.88008759473135 -6.288966824208145, 106.87905993592659 -6.280860448135112, 106.8690450315098 -6.280860448135112))",1000000.0,21.0,4,129,3344887.0,3.4583333333333335,144.0,0.0,0.022407913054729178,0.08329297886325007
537,9329.0,"POLYGON ((106.87905993592659 -6.280860448135112, 106.88008759473135 -6.288966824208145, 106.89010259544301 -6.288966824208145, 106.88907484034337 -6.280860448135112, 106.87905993592659 -6.280860448135112))",1000000.0,5.0,2,60,1734136.0,2.793103448275862,136.0,0.0,-0.021181930447410385,0.0784037795184908
538,5370.0,"POLYGON ((106.88907484034337 -6.280860448135112, 106.89010259544301 -6.288966824208145, 106.90011759615464 -6.288966824208145, 106.89908974476013 -6.280860448135112, 106.88907484034337 -6.280860448135112))",1000000.0,5.0,2,44,751308.0,1.5714285714285714,125.0,4.0,0.030579136742714844,0.0775131365599809
539,14952.0,"POLYGON ((106.89908974476013 -6.280860448135112, 106.90011759615464 -6.288966824208145, 106.91013259686629 -6.288966824208145, 106.90910464917694 -6.280860448135112, 106.89908974476013 -6.280860448135112))",1000000.0,3.0,2,82,2812224.0,3.1333333333333333,109.0,1.0,0.021167249980434545,0.07831301416922593
540,12144.0,"POLYGON ((106.76992258690319 -6.288966824208145, 106.77095053822072 -6.2970732486840095, 106.78096563535402 -6.2970732486840095, 106.77993758761485 -6.288966824208145, 106.76992258690319 -6.288966824208145))",1000000.0,24.0,2,136,3893608.0,4.516129032258065,216.0,3.0,-0.06568874780990183,0.10735347402580907
541,9166.0,"POLYGON ((106.77993758761485 -6.288966824208145, 106.78096563535402 -6.2970732486840095, 106.79098073248733 -6.2970732486840095, 106.7899525883265 -6.288966824208145, 106.77993758761485 -6.288966824208145))",1000000.0,10.0,3,100,4024355.0,4.233333333333333,224.0,1.0,-0.002020879885599628,0.10626375494687809
542,10079.0,"POLYGON ((106.7899525883265 -6.288966824208145, 106.79098073248733 -6.2970732486840095, 106.80099582962065 -6.2970732486840095, 106.79996758903815 -6.288966824208145, 106.7899525883265 -6.288966824208145))",1000000.0,18.0,2,150,3841145.0,4.072727272727272,226.0,0.0,-0.08040498145574522,0.09373462820636227
543,10217.0,"POLYGON ((106.79996758903815 -6.288966824208145, 106.80099582962065 -6.2970732486840095, 106.81101092675397 -6.2970732486840095, 106.8099825897498 -6.288966824208145, 106.79996758903815 -6.288966824208145))",1000000.0,7.0,3,133,3415453.0,4.02,201.0,2.0,-0.012438238590106019,0.10347728854746856
544,9418.0,"POLYGON ((106.8099825897498 -6.288966824208145, 106.81101092675397 -6.2970732486840095, 106.82102602388727 -6.2970732486840095, 106.81999759046145 -6.288966824208145, 106.8099825897498 -6.288966824208145))",1000000.0,6.0,2,123,4065148.0,4.53125,188.0,2.0,-0.08014298195265321,0.09181326317612512
545,12491.0,"POLYGON ((106.81999759046145 -6.288966824208145, 106.82102602388727 -6.2970732486840095, 106.83104112102058 -6.2970732486840095, 106.8300125911731 -6.288966824208145, 106.81999759046145 -6.288966824208145))",1000000.0,11.0,5,95,4083904.0,4.875,171.0,0.0,-0.04280087268460378,0.056426353615275635
546,17262.0,"POLYGON ((106.8300125911731 -6.288966824208145, 106.83104112102058 -6.2970732486840095, 106.84105621815388 -6.2970732486840095, 106.84002759188473 -6.288966824208145, 106.8300125911731 -6.288966824208145))",1000000.0,32.0,5,109,3932938.0,3.9,165.0,0.0,-0.051145292159678626,0.0800176917033307
547,16997.0,"POLYGON ((106.84002759188473 -6.288966824208145, 106.84105621815388 -6.2970732486840095, 106.8510713152872 -6.2970732486840095, 106.8500425925964 -6.288966824208145, 106.84002759188473 -6.288966824208145))",1000000.0,18.0,4,91,4425171.0,4.714285714285714,157.0,0.0,-0.051870645435603935,0.05064517409910205
548,17018.0,"POLYGON ((106.8500425925964 -6.288966824208145, 106.8510713152872 -6.2970732486840095, 106.8610864124205 -6.2970732486840095, 106.86005759330806 -6.288966824208145, 106.8500425925964 -6.288966824208145))",1000000.0,12.0,5,65,4032417.0,4.478260869565218,146.0,0.0,0.029982780079375437,0.07437947213068777
549,18996.0,"POLYGON ((106.86005759330806 -6.288966824208145, 106.8610864124205 -6.2970732486840095, 106.87110150955382 -6.2970732486840095, 106.8700725940197 -6.288966824208145, 106.86005759330806 -6.288966824208145))",1000000.0,8.0,3,117,4017552.0,4.708333333333333,146.0,0.0,-0.20185300995277777,0.07956198108310586
550,16646.0,"POLYGON ((106.8700725940197 -6.288966824208145, 106.87110150955382 -6.2970732486840095, 106.88111660668713 -6.2970732486840095, 106.88008759473135 -6.288966824208145, 106.8700725940197 -6.288966824208145))",1000000.0,32.0,5,149,3287522.0,3.3823529411764706,129.0,1.0,0.011153841103105504,0.07385518945293863
551,14783.0,"POLYGON ((106.88008759473135 -6.288966824208145, 106.88111660668713 -6.2970732486840095, 106.89113170382043 -6.2970732486840095, 106.89010259544301 -6.288966824208145, 106.88008759473135 -6.288966824208145))",1000000.0,4.0,1,118,3474081.0,3.8181818181818183,133.0,0.0,-0.10782839122159127,0.07552088724172488
552,19736.0,"POLYGON ((106.89010259544301 -6.288966824208145, 106.89113170382043 -6.2970732486840095, 106.90114680095375 -6.2970732486840095, 106.90011759615464 -6.288966824208145, 106.89010259544301 -6.288966824208145))",1000000.0,13.0,5,145,3565402.0,3.272727272727273,128.0,0.0,-0.04155740897640761,0.056017599403257574
553,17838.0,"POLYGON ((106.90011759615464 -6.288966824208145, 106.90114680095375 -6.2970732486840095, 106.91116189808706 -6.2970732486840095, 106.91013259686629 -6.288966824208145, 106.90011759615464 -6.288966824208145))",1000000.0,4.0,2,116,3195005.0,2.8205128205128207,104.0,0.0,-0.005150100058662092,0.05556183005496801
554,13751.0,"POLYGON ((106.77095053822072 -6.2970732486840095, 106.7719798414105 -6.305179721626115, 106.78199503509225 -6.305179721626115, 106.78096563535402 -6.2970732486840095, 106.77095053822072 -6.2970732486840095))",1000000.0,26.0,2,81,3217055.0,3.2444444444444445,194.0,0.0,-0.04462972972797682,0.05332738626038263
555,14768.0,"POLYGON ((106.78096563535402 -6.2970732486840095, 106.78199503509225 -6.305179721626115, 106.79201022877403 -6.305179721626115, 106.79098073248733 -6.2970732486840095, 106.78096563535402 -6.2970732486840095))",1000000.0,10.0,1,77,3645396.0,3.5319148936170213,201.0,3.0,0.0021492244021030843,0.0905982081869794
556,13894.0,"POLYGON ((106.79098073248733 -6.2970732486840095, 106.79201022877403 -6.305179721626115, 106.80202542245581 -6.305179721626115, 106.80099582962065 -6.2970732486840095, 106.79098073248733 -6.2970732486840095))",1000000.0,8.0,3,69,3296140.0,3.25,215.0,3.0,-0.005836149992165778,0.11798647644817892
557,12634.0,"POLYGON ((106.80099582962065 -6.2970732486840095, 106.80202542245581 -6.305179721626115, 106.8120406161376 -6.305179721626115, 106.81101092675397 -6.2970732486840095, 106.80099582962065 -6.2970732486840095))",1000000.0,3.0,2,68,3133438.0,3.5121951219512195,175.0,0.0,-0.05698420389722285,0.06605788435363638
558,12264.0,"POLYGON ((106.81101092675397 -6.2970732486840095, 106.8120406161376 -6.305179721626115, 106.82205580981937 -6.305179721626115, 106.82102602388727 -6.2970732486840095, 106.81101092675397 -6.2970732486840095))",1000000.0,9.0,3,104,3769151.0,3.86,186.0,0.0,-0.042130308559606686,0.06558861969040518
559,11585.0,"POLYGON ((106.82102602388727 -6.2970732486840095, 106.82205580981937 -6.305179721626115, 106.83207100350114 -6.305179721626115, 106.83104112102058 -6.2970732486840095, 106.82102602388727 -6.2970732486840095))",1000000.0,10.0,2,82,3646008.0,3.8225806451612905,164.0,0.0,-0.018081574689690134,0.07801271937934817
560,11965.0,"POLYGON ((106.83104112102058 -6.2970732486840095, 106.83207100350114 -6.305179721626115, 106.84208619718291 -6.305179721626115, 106.84105621815388 -6.2970732486840095, 106.83104112102058 -6.2970732486840095))",1000000.0,25.0,3,175,3820516.0,4.11864406779661,151.0,3.0,0.031217629761187915,0.10372070309321223
561,14412.0,"POLYGON ((106.84105621815388 -6.2970732486840095, 106.84208619718291 -6.305179721626115, 106.85210139086469 -6.305179721626115, 106.8510713152872 -6.2970732486840095, 106.84105621815388 -6.2970732486840095))",1000000.0,23.0,2,113,3834035.0,3.86046511627907,141.5,0.0,-0.011089108156553156,0.08176731303393908
562,13474.0,"POLYGON ((106.8510713152872 -6.2970732486840095, 106.85210139086469 -6.305179721626115, 106.86211658454647 -6.305179721626115, 106.8610864124205 -6.2970732486840095, 106.8510713152872 -6.2970732486840095))",1000000.0,8.0,6,93,3685573.0,3.7358490566037736,139.0,0.0,-0.04749356325813003,0.06145228193492332
563,17793.0,"POLYGON ((106.8610864124205 -6.2970732486840095, 106.86211658454647 -6.305179721626115, 106.87213177822824 -6.305179721626115, 106.87110150955382 -6.2970732486840095, 106.8610864124205 -6.2970732486840095))",1000000.0,9.0,4,118,4117392.0,4.25,143.0,1.0,-0.04749108806054295,0.09598590627456931
564,20072.0,"POLYGON ((106.87110150955382 -6.2970732486840095, 106.87213177822824 -6.305179721626115, 106.88214697191002 -6.305179721626115, 106.88111660668713 -6.2970732486840095, 106.87110150955382 -6.2970732486840095))",1000000.0,8.0,3,90,3672127.0,3.4166666666666665,136.0,0.0,0.043423981253225996,0.0793860019465707
565,10201.0,"POLYGON ((106.88111660668713 -6.2970732486840095, 106.88214697191002 -6.305179721626115, 106.8921621655918 -6.305179721626115, 106.89113170382043 -6.2970732486840095, 106.88111660668713 -6.2970732486840095))",1000000.0,1.0,1,146,2158430.0,2.85,141.0,0.0,-0.11668396502304888,0.07168817311176176
566,13774.0,"POLYGON ((106.89113170382043 -6.2970732486840095, 106.8921621655918 -6.305179721626115, 106.90217735927358 -6.305179721626115, 106.90114680095375 -6.2970732486840095, 106.89113170382043 -6.2970732486840095))",1000000.0,3.0,1,108,2784527.0,3.1333333333333333,119.0,0.0,-0.010225469942265149,0.07922041921822374
567,13924.0,"POLYGON ((106.90114680095375 -6.2970732486840095, 106.90217735927358 -6.305179721626115, 106.91219255295535 -6.305179721626115, 106.91116189808706 -6.2970732486840095, 106.90114680095375 -6.2970732486840095))",1000000.0,10.0,2,124,2478197.0,2.676470588235294,91.0,0.0,-0.0363777671252911,0.0671871739562256
568,12035.0,"POLYGON ((106.91116189808706 -6.2970732486840095, 106.91219255295535 -6.305179721626115, 106.92220774663713 -6.305179721626115, 106.92117699522036 -6.2970732486840095, 106.91116189808706 -6.2970732486840095))",1000000.0,1.0,1,47,2378884.0,2.641025641025641,90.0,1.0,0.07597872857386308,0.09059520490557992
569,12586.0,"POLYGON ((106.7719798414105 -6.305179721626115, 106.77301049658867 -6.313286243097872, 106.78302578694571 -6.313286243097872, 106.78199503509225 -6.305179721626115, 106.7719798414105 -6.305179721626115))",1000000.0,17.0,1,93,2661647.0,2.5121951219512195,160.0,0.0,-0.04152284545116821,0.05293565847053331
570,14837.0,"POLYGON ((106.78199503509225 -6.305179721626115, 106.78302578694571 -6.313286243097872, 106.79304107730279 -6.313286243097872, 106.79201022877403 -6.305179721626115, 106.78199503509225 -6.305179721626115))",1000000.0,7.0,5,98,3621352.0,3.2698412698412698,145.0,0.0,-0.006418684271227739,0.07080142679640633
571,14910.0,"POLYGON ((106.79201022877403 -6.305179721626115, 106.79304107730279 -6.313286243097872, 106.80305636765983 -6.313286243097872, 106.80202542245581 -6.305179721626115, 106.79201022877403 -6.305179721626115))",1000000.0,10.0,3,82,3412189.0,3.3859649122807016,146.0,0.0,-0.005732245962054739,0.06929006388630994
572,12640.0,"POLYGON ((106.80202542245581 -6.305179721626115, 106.80305636765983 -6.313286243097872, 106.8130716580169 -6.313286243097872, 106.8120406161376 -6.305179721626115, 106.80202542245581 -6.305179721626115))",1000000.0,5.0,2,45,3111629.0,3.1538461538461537,148.0,0.0,0.04950844843447595,0.08320488558681519
573,8091.0,"POLYGON ((106.8120406161376 -6.305179721626115, 106.8130716580169 -6.313286243097872, 106.82308694837396 -6.313286243097872, 106.82205580981937 -6.305179721626115, 106.8120406161376 -6.305179721626115))",1000000.0,12.0,1,69,1678920.0,2.9310344827586206,148.0,0.0,-0.007030365531866745,0.05147020526268536
574,11940.0,"POLYGON ((106.82205580981937 -6.305179721626115, 106.82308694837396 -6.313286243097872, 106.83310223873102 -6.313286243097872, 106.83207100350114 -6.305179721626115, 106.82205580981937 -6.305179721626115))",1000000.0,5.0,2,86,2619861.0,3.3793103448275863,132.0,0.0,-0.043136649030185915,0.05508251630262923
575,15198.0,"POLYGON ((106.83207100350114 -6.305179721626115, 106.83310223873102 -6.313286243097872, 106.84311752908806 -6.313286243097872, 106.84208619718291 -6.305179721626115, 106.83207100350114 -6.305179721626115))",1000000.0,10.0,3,101,3588672.0,3.5476190476190474,142.0,0.0,-0.06868520515983861,0.07305961379390476
576,18951.0,"POLYGON ((106.84208619718291 -6.305179721626115, 106.84311752908806 -6.313286243097872, 106.85313281944512 -6.313286243097872, 106.85210139086469 -6.305179721626115, 106.84208619718291 -6.305179721626115))",1000000.0,5.0,1,103,3973958.0,3.9,153.0,0.0,0.04027230121567233,0.0856188112592576
577,14766.0,"POLYGON ((106.85210139086469 -6.305179721626115, 106.85313281944512 -6.313286243097872, 106.86314810980218 -6.313286243097872, 106.86211658454647 -6.305179721626115, 106.85210139086469 -6.305179721626115))",1000000.0,6.0,3,89,3375453.0,3.28,148.0,0.0,-0.036103608660692454,0.08241816197700325
