"Timestamp","Index","binary","design_type"
"2022/12/15 5:56:53 PM GMT+7","125","non_residential_builds","C10"
"2022/12/15 5:59:07 PM GMT+7","126","non_house_CCTV","C21"
"2022/12/15 6:04:01 PM GMT+7","127","gapura;non_residential_builds;main_street","C10"
"2022/12/15 6:10:40 PM GMT+7","128","house_CCTV;symbolic_medium;main_street","C20"
"2022/12/15 6:11:42 PM GMT+7","129","house_CCTV;gapura;symbolic_medium;puldur;non_residential_builds;main_street","C20"
"2022/12/15 6:13:00 PM GMT+7","130","house_CCTV;non_residential_builds","C21"
"2022/12/15 6:14:27 PM GMT+7","131","","C20"
"2022/12/15 6:15:41 PM GMT+7","133","house_high_fence","C20"
"2022/12/15 6:18:05 PM GMT+7","134","house_CCTV;non_residential_builds","C10"
"2022/12/15 8:16:29 PM GMT+7","135","non_residential_builds","C10"
"2022/12/16 11:42:14 AM GMT+7","136","house_high_fence;house_CCTV;puldur","A10"
"2022/12/16 12:08:50 PM GMT+7","137","non_residential_builds","B"
"2022/12/16 12:18:59 PM GMT+7","138","non_house_CCTV;gardu;puldur","C10"
"2022/12/16 12:21:59 PM GMT+7","139","non_house_CCTV;non_residential_builds","C10"
"2022/12/16 12:22:48 PM GMT+7","140","gardu;symbolic_medium;non_residential_builds","C10"
"2022/12/16 12:32:49 PM GMT+7","141","","C10"
"2022/12/16 12:34:28 PM GMT+7","142","","C10"
"2022/12/16 12:34:46 PM GMT+7","143","","C10"
"2022/12/16 12:37:23 PM GMT+7","144","symbolic_medium;puldur","C10"
"2022/12/16 12:37:37 PM GMT+7","145","symbolic_medium","C10"
"2022/12/16 12:37:55 PM GMT+7","146","","C20"
"2022/12/16 12:46:05 PM GMT+7","147","","C10"
"2022/12/16 1:27:02 PM GMT+7","148","","C21"
"2022/12/16 5:14:29 PM GMT+7","149","house_high_fence;puldur;main_street","C10"
"2022/12/16 5:16:37 PM GMT+7","150","puldur","C10"
"2022/12/16 5:19:08 PM GMT+7","151","house_high_fence;puldur;non_residential_builds;main_street","C10"
"2022/12/16 5:22:49 PM GMT+7","152","house_high_fence;gapura;symbolic_medium;puldur;main_street","C21"
"2022/12/16 5:23:57 PM GMT+7","153","house_high_fence;house_CCTV;gardu","C10"
"2022/12/16 5:24:34 PM GMT+7","154","gardu;symbolic_medium","C21"
"2022/12/16 5:28:41 PM GMT+7","155","house_high_fence;non_house_CCTV;gardu;gapura;symbolic_medium;main_street","C21"
"2022/12/16 5:31:16 PM GMT+7","156","house_high_fence;house_CCTV;main_street","A10"
"2022/12/16 5:33:12 PM GMT+7","157","house_high_fence;gardu;gapura;main_street","A10"
"2022/12/16 5:37:19 PM GMT+7","158","house_high_fence;main_street","C11"
"2022/12/16 5:41:05 PM GMT+7","159","main_street","C10"
"2022/12/16 5:42:46 PM GMT+7","160","house_high_fence;gardu;gapura;symbolic_medium;main_street","A10"
"2022/12/16 5:59:48 PM GMT+7","161","tumpang_tindih;house_high_fence;house_CCTV;gardu;gapura;symbolic_medium;puldur;non_residential_builds;main_street","C10;D"
"2022/12/16 6:05:32 PM GMT+7","162","house_high_fence;house_CCTV;gardu;gapura;symbolic_medium;non_residential_builds;main_street","C10"
"2022/12/17 3:29:35 PM GMT+7","163","non_house_CCTV;gapura;symbolic_medium;puldur","C21"
"2022/12/17 4:10:11 PM GMT+7","164","house_CCTV;puldur;non_residential_builds","C21"
"2022/12/17 4:27:51 PM GMT+7","165","gardu;puldur;main_street","C21"
"2022/12/17 4:28:08 PM GMT+7","166","gardu;puldur;main_street","A10"
"2022/12/17 5:10:01 PM GMT+7","167","house_CCTV;gapura;symbolic_medium;puldur;non_residential_builds;main_street","C10"
"2022/12/17 5:44:04 PM GMT+7","168","house_high_fence;gardu;puldur;main_street","C10"
"2022/12/17 6:12:40 PM GMT+7","169","non_residential_builds;main_street","A10"
"2022/12/17 6:17:09 PM GMT+7","170","house_high_fence;main_street","A10"
"2022/12/18 3:01:53 PM GMT+7","171","puldur","C10"
"2022/12/18 3:02:23 PM GMT+7","172","puldur","C10"
"2022/12/18 3:23:20 PM GMT+7","173","house_CCTV;symbolic_medium;puldur;non_residential_builds","C21"
"2022/12/18 3:28:10 PM GMT+7","174","puldur;non_residential_builds","C10"
"2022/12/18 3:31:12 PM GMT+7","175","puldur","C20"
"2022/12/18 3:31:26 PM GMT+7","176","puldur","C20"
"2022/12/18 3:34:11 PM GMT+7","177","main_street","C10"
"2022/12/18 3:41:08 PM GMT+7","178","main_street","C10"
"2022/12/18 3:41:25 PM GMT+7","179","house_high_fence;main_street","C10"
"2022/12/18 3:41:45 PM GMT+7","180","","C10"
"2022/12/18 3:42:08 PM GMT+7","181","","C10"
"2022/12/18 3:42:24 PM GMT+7","182","","C10"
"2022/12/18 3:45:02 PM GMT+7","183","puldur;non_residential_builds","C10"
"2022/12/18 3:45:20 PM GMT+7","184","puldur;non_residential_builds","C10"
"2022/12/18 3:54:02 PM GMT+7","185","house_CCTV","C10"
"2022/12/18 4:01:12 PM GMT+7","186","main_street","C20"
"2022/12/18 4:01:30 PM GMT+7","187","main_street","C10"
"2022/12/18 4:04:48 PM GMT+7","188","","C20"
"2022/12/18 4:05:02 PM GMT+7","189","","C21"
"2022/12/18 4:18:52 PM GMT+7","191","main_street","C10"
"2022/12/18 4:22:59 PM GMT+7","193","","C10"
"2022/12/18 4:30:40 PM GMT+7","194","","C20"
"2022/12/18 4:32:54 PM GMT+7","195","gardu","C10"
"2022/12/18 4:36:10 PM GMT+7","197","non_residential_builds;main_street","C10"
"2022/12/18 4:36:31 PM GMT+7","196","non_residential_builds;main_street","C10"
"2022/12/18 4:39:17 PM GMT+7","198","symbolic_medium;main_street","C20"
"2022/12/18 4:42:32 PM GMT+7","199","non_residential_builds;main_street","C20"
"2022/12/18 4:44:31 PM GMT+7","200","puldur;main_street","C20"
